Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 

00:05:00:250, 0, -92156, -118968, 992828, -22900, -305343, -30534, ,
00:05:00:261, 0, -92218, -120218, 990609, -152671, -152671, -15267, 
00:05:00:273, 0, -91562, -120984, 990812, -76335, 91603, 53435, 
00:05:00:285, 0, -92328, -119265, 992109, 22900, -198473, -45801, 
00:05:00:300, 0, -91359, -120187, 991031, 30534, -45801, 53435, 
00:05:00:312, 0, -91921, -120000, 990437, -15267, 99236, -76335, 
00:05:00:324, 0, -91312, -121062, 989625, -183206, -91603, 61068, 
00:05:00:335, 0, -90531, -119703, 991156, 7633, -305343, -99236, 
00:05:00:347, 0, -91515, -119843, 991718, -76335, 15267, 61068, 
00:05:00:363, 0, -91250, -119843, 989578, 160305, -7633, 15267, 
00:05:00:375, 0, -91781, -120437, 991421, 22900, 106870, 53435, 
00:05:00:386, 0, -92171, -118812, 990750, -83969, -404580, 122137, 
00:05:00:398, 0, -91734, -120078, 990937, 38167, 38167, -61068, 
00:05:00:410, 0, -91828, -119375, 990875, 114503, 198473, -99236, 
00:05:00:425, 0, -92421, -121203, 991421, 68702, 175572, 15267, 
00:05:00:437, 0, -92593, -120390, 990453, -106870, 366412, 7633, 
00:05:00:449, 0, -91031, -120046, 991078, 99236, 229007, -30534, 
00:05:00:460, 0, -93781, -119843, 991953, -145038, 793893, 45801, 
00:05:00:472, 0, -92406, -120093, 989562, -206106, 648855, 7633, 
00:05:00:488, 0, -91234, -121796, 989437, 61068, 297710, 129771, 
00:05:00:500, 0, -92171, -121453, 988781, -22900, 511450, -76335, 
00:05:00:511, 0, -92328, -121843, 988984, -160305, 175572, -114503, 
00:05:00:523, 0, -91078, -122640, 989546, -183206, 76335, -15267, 
00:05:00:535, 0, -91375, -121640, 988546, -22900, -145038, 15267, 
00:05:00:550, 0, -92281, -121765, 989093, -259542, -458015, 137404, 
00:05:00:562, 0, -91859, -120218, 991765, -206106, -801526, 61068, 
00:05:00:574, 0, -92718, -120984, 989156, 15267, -503816, 0, 
00:05:00:585, 0, -92187, -121000, 990640, -61068, -770992, 38167, 
00:05:00:597, 0, -91453, -120171, 992296, -53435, -984733, -99236, 
00:05:00:613, 0, -92406, -120203, 992125, 38167, -1022901, 7633, 
00:05:00:625, 0, -92984, -120906, 990484, -282442, -839694, 22900, 
00:05:00:636, 0, -92187, -118312, 990671, -137404, -1183206, -122137, 
00:05:00:648, 0, -92250, -119703, 989859, -22900, -458015, -15267, 
00:05:00:660, 0, -92265, -119953, 990046, -99236, -1061069, -99236, 
00:05:00:675, 0, -92046, -119937, 990843, -45801, -1000000, 114503, 
00:05:00:687, 0, -92359, -117968, 991375, 53435, -816794, 53435, 
00:05:00:699, 0, -92078, -120078, 989031, 244274, -877862, -76335, 
00:05:00:710, 0, -91578, -119281, 990890, -61068, -679389, -68702, 
00:05:00:722, 0, -92031, -118687, 990984, -152671, -1000000, 61068, 
00:05:00:738, 0, -91890, -118125, 991484, 114503, -763359, -38167, 
00:05:00:750, 0, -91796, -117390, 990156, -229007, -648855, -190839, 
00:05:00:761, 0, -91578, -118046, 991546, -175572, -580152, 30534, 
00:05:00:773, 0, -92421, -117234, 991718, -53435, -526717, -53435, 
00:05:00:785, 0, -92656, -117500, 991640, -183206, -541984, -61068, 
00:05:00:800, 0, -91828, -116500, 991750, -236641, -122137, -91603, 
00:05:00:812, 0, -92312, -115078, 993421, 91603, -137404, 7633, 
00:05:00:824, 0, -91968, -116500, 992609, -167938, 358778, 7633, 
00:05:00:847, 0, -92328, -118796, 991203, -129771, 541984, -30534, 
00:05:00:863, 0, -91484, -117781, 992171, 152671, 778626, -45801, 
