Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 

00:05:00:246, 0, 106125, 11234, 955453, 83969, -22900, 15267, ,
00:05:00:257, 0, 106125, 10015, 953328, 15267, 0, 152671, 
00:05:00:273, 0, 105453, 10421, 954140, 91603, -114503, 122137, 
00:05:00:285, 0, 106296, 10796, 956687, 30534, -99236, 83969, 
00:05:00:296, 0, 104968, 10437, 956468, 99236, -274809, 83969, 
00:05:00:308, 0, 105000, 10140, 955687, 114503, 122137, 152671, 
00:05:00:320, 0, 105203, 9718, 955250, 114503, -259542, 175572, 
00:05:00:335, 0, 105562, 10859, 955453, 30534, -244274, 106870, 
00:05:00:347, 0, 107000, 10343, 955328, -229007, -129771, 152671, 
00:05:00:359, 0, 106640, 10953, 952890, 0, -122137, 122137, 
00:05:00:371, 3440, 106281, 10687, 954312, 15267, -282442, 236641, 
00:05:00:382, 3440, 106406, 9296, 955875, 30534, -305343, 183206, 
00:05:00:398, 3440, 106343, 11781, 956312, -99236, -45801, 259542, 
00:05:00:410, 3440, 105765, 11281, 954859, 152671, -175572, 129771, 
00:05:00:421, 3440, 105765, 12156, 954046, 45801, 22900, 38167, 
00:05:00:433, 3440, 106640, 10031, 955937, 68702, 0, 122137, 
00:05:00:449, 3440, 106703, 10406, 956406, -129771, -68702, 198473, 
00:05:00:460, 3440, 107125, 12781, 955890, -15267, -206106, 91603, 
00:05:00:472, 3440, 105734, 11046, 955484, 68702, -251908, 305343, 
00:05:00:484, 3440, 106171, 12218, 956156, 91603, -53435, 53435, 
00:05:00:496, 3440, 107234, 11375, 955203, 68702, -22900, 122137, 
00:05:00:511, 3440, 106156, 12562, 954359, -7633, -175572, 236641, 
00:05:00:523, 3440, 106703, 11437, 953328, -83969, -99236, 152671, 
00:05:00:535, 3440, 106484, 11078, 954046, 76335, -167938, 175572, 
00:05:00:546, 3440, 107015, 11609, 957375, 99236, -114503, -30534, 
00:05:00:558, 3440, 107125, 12250, 956375, -106870, -129771, 76335, 
00:05:00:574, 0, 106828, 11968, 956125, -15267, -22900, 160305, 
00:05:00:585, 0, 106390, 12750, 954687, 0, -91603, 114503, 
00:05:00:597, 0, 107046, 12500, 954562, 91603, -68702, 106870, 
